Date RSI14 RSI7 MACD STOCH5 STOCH14 PPO TREND10 TREND20 QUADTREND10 INTENSITY ADX14 AROONUP14 AROONDOWN14 AROON_DIFF CLOSE_MA_DIFF LIN_DEV QUAD_DEV PRICE_OSC VAR_RATIO MONEYFLOW
20111216   47.68239   43.03031   -1.36853   22.15421   49.99777   -1.54541  -21.40987    3.57061   -0.00130  -27.63065   11.59834   50.00000    0.00000   50.00000   -7.56520   17.18731   19.88812  -28.91401   -1.42422  -24.25846
20111219   44.43515   36.19806   -2.01538   16.59457   38.16618   -2.21209  -21.08232    2.64054    0.00295  -33.57542   11.83080   42.85714    0.00000   42.85714  -11.37644    0.43003   -4.02569  -32.60974  -15.77894  -30.19810
20111220   53.90176   57.98876   -0.90759   42.69323   45.66835   -1.01432   -4.72392    2.12695    2.27486  -22.25442   11.08135   35.71429    0.00000   35.71429   17.43557   39.54518   29.10924  -11.60097   26.12481  -18.43356
20111221   54.45273   59.06416   -0.06078   60.33280   51.91429   -0.12503   -0.13673    1.58721    5.22221  -16.07466   10.30341   28.57143   85.71429  -57.14286   16.86788   29.17713    6.64817  -21.55320   38.57781  -17.85240
20111222   56.99014   63.99293    0.91792   72.74821   61.78238    0.87941    0.03622    0.71567   15.71122   -3.97492   10.08952   21.42857   78.57143  -57.14286   20.17521   27.02025  -16.35782  -15.98894   45.26391   -5.42208
20111223   59.46627   68.49855    1.97276   81.62380   74.16920    1.90401   10.48087    0.19288   11.42213    8.07591   10.35897   14.28571   71.42857  -57.14286   22.33547   23.27178  -17.75766   -8.00865   47.59419   -8.65615
20111227   59.68936   68.90377    2.59313   86.04376   81.15942    2.46045   32.18047    0.09111    2.21376   14.07426   10.78155  100.00000   64.28571   35.71429   18.20305    6.27793  -23.74864  -18.09996   14.17883  -10.56705
20111228   54.34140   55.15909    2.10575   74.39767   77.67033    1.97596   29.96217    0.00004   -0.02806   -5.34549   10.39905   92.85714   57.14286   35.71429   -3.11837  -32.86064  -28.59420  -33.84463    0.96793   -8.68014
20111229   57.52624   62.02673    2.23563   73.92310   81.67725    2.06281   26.43350    0.04986   -0.53965    6.94949   10.04387   85.71429   50.00000   35.71429    5.67263  -16.68470    0.30755  -26.05170  -17.65048    7.08173
20111230   55.52171   57.12129    2.13508   61.56302   81.30478    1.72244   19.27074    0.21373   -3.76022   -5.76114    9.75774   78.57143   42.85714   35.71429   -2.63963  -25.06587    2.50549  -29.50853  -20.46439   10.39066
20120103   60.32447   66.95625    2.52534   66.33886   84.02354    2.18588   14.31536    0.79395   -1.88135   -6.35958   10.50841  100.00000   35.71429   64.28571   12.85669    2.40223   30.14681  -23.53774    2.22232    9.03775
20120104   60.78043   67.81723    2.86503   71.34877   86.63425    2.39284   10.78550    2.79936   -0.00007    3.11226   10.74005   92.85714   28.57143   64.28571   13.06513   12.06331   12.97193  -20.97268   16.49214   27.12874
20120105   61.58881   69.39906    3.00022   77.67918   89.73208    2.47909    8.93218    6.63692    0.03214   12.82021   11.15791   85.71429   21.42857   64.28571   13.66371   10.07846    2.28001  -30.95168    6.46948   23.41959
20120106   60.28984   65.73999    2.78628   77.36410   90.47980    2.21538   10.15541   13.44870    0.29294    1.00827   11.54592   78.57143   14.28571   64.28571    6.21333   -4.19137  -18.57527  -36.32184    0.35239   11.54102
20120109   61.11944   67.61157    2.68199   78.75510   92.21595    1.99572   10.66371   15.90206    0.27477    1.30154   11.90622   71.42857    7.14286   64.28571    6.52298   -2.19370  -15.73450  -37.95672  -46.54166    8.96353
20120110   64.01781   73.62896    2.93437   80.45381   92.94285    2.12274   19.29293   27.10468    0.02265   -1.86119   12.99015  100.00000    0.00000  100.00000   11.96355   11.89733    5.33923  -41.54328  -30.45030   -2.19293
20120111   64.19902   73.98449    2.83387   82.31078   93.12130    2.04616   26.82926   31.55406   -0.12836    8.55661   13.65070   92.85714    0.00000   92.85714   10.31761   -9.48672    7.66760  -42.15217  -24.04255    2.10243
20120112   65.03888   75.67890    2.95077   85.57923   94.25635    1.93558   21.56782   35.30855   -0.01766    6.08233   14.43368  100.00000    0.00000  100.00000   11.05636   -6.10799    2.90203  -41.50003  -17.04772   16.32148
20120113   61.67142   65.00325    2.19851   77.86792   90.40297    1.42789   15.70341   29.37311   -0.56304    7.00969   14.48834   92.85714    0.00000   92.85714    1.30972  -30.17998  -13.51467  -38.83818  -31.27206   17.30745
20120117   63.20259   68.83131    1.95098   72.68105   87.75815    1.14730    9.65001   24.88466   -0.01569   -3.40588   15.21691  100.00000   14.28571   85.71429    4.09425  -12.47329   -3.96754  -37.04422  -46.09570   20.09172
20120118   67.23426   77.16554    2.11223   81.03959   91.45692    1.37628   10.60844   23.55469    0.01133   12.23397   16.14638  100.00000    7.14286   92.85714   15.50133   32.02346   26.98130  -34.71670  -21.99404   43.57072
20120119   68.99916   80.15290    2.88191   86.40734   93.75816    1.62000   16.57135   22.99725    0.15529   15.28283   17.34970  100.00000    0.00000  100.00000   19.71928   28.63135   15.98108  -30.31416    0.23441   42.75698
20120120   70.22569   82.09377    3.02437   90.93822   95.83877    1.77826   23.18251   23.75556    0.13250   23.84522   18.63876  100.00000    0.00000  100.00000   22.04870   19.77136    4.15638  -28.85603   13.78001   43.97914
20120123   68.20931   76.07216    3.43150   87.59073   93.56034    1.55968   25.21731   25.09051    0.06060   21.18151   19.97234  100.00000    0.00000  100.00000   13.47961  -10.20702  -22.08558  -30.86709   -5.48352   45.61903
20120124   67.29103   73.30376    2.73280   83.41983   91.18210    1.18726   19.84228   26.62567    0.00508   27.56785   20.83004   92.85714   14.28571   78.57143    5.28815  -20.41255  -24.51062  -30.83943  -40.64679   48.20831
20120125   70.43386   79.64121    2.47332   84.39447   92.51686    1.20200   17.84078   27.33458   -0.00014   31.64653   22.26264  100.00000    7.14286   92.85714   12.73293    3.45717    5.17604  -33.56890  -39.59850   59.36389
